Site Name:,Rockland Summit
Deployment:,Camera
Monitored System:,Meteorological
Measured Property:,Soil Temperature
Vertical Offset from Surface:,8m height
Units:,degC
Measurement Type:,Average
Measurement Interval:,1:00:00
Time Stamp ((UTC-08:00) Pacific Time (US & Canada)),
9/1/2017,12.3
9/1/2017,13.4
9/1/2017,13.1
9/1/2017,12.9
9/1/2017,12.7
9/1/2017,12.6
9/1/2017,13
9/1/2017,12.6
9/1/2017,14
9/1/2017,16
9/1/2017,16.9
9/1/2017,17.3
9/1/2017,14.5
9/1/2017,16
9/1/2017,16
9/1/2017,15.6
9/1/2017,18.4
9/1/2017,15.9
9/1/2017,16.4
9/1/2017,15.5
9/1/2017,15.1
9/1/2017,15.2
9/1/2017,15.5
9/1/2017,15
9/2/2017,14.8
9/2/2017,14.8
9/2/2017,14.8
9/2/2017,15
9/2/2017,15.2
9/2/2017,14.7
9/2/2017,14.4
9/2/2017,15.2
9/2/2017,16.4
9/2/2017,18
9/2/2017,18.8
9/2/2017,19.6
9/2/2017,19.7
9/2/2017,20.7
9/2/2017,17.7
9/2/2017,19.4
9/2/2017,17.2
9/2/2017,17.5
9/2/2017,16.6
9/2/2017,15.6
9/2/2017,15.4
9/2/2017,14.4
9/2/2017,12.6
9/2/2017,12.3
9/3/2017,12.9
9/3/2017,14
9/3/2017,14.2
9/3/2017,14.5
9/3/2017,14.2
9/3/2017,14.7
9/3/2017,14
9/3/2017,14.3
9/3/2017,15.6
9/3/2017,17.4
9/3/2017,17.6
9/3/2017,18.4
9/3/2017,19.3
9/3/2017,17.9
9/3/2017,19.8
9/3/2017,19.8
9/3/2017,21.8
9/3/2017,19.7
9/3/2017,19.2
9/3/2017,15.9
9/3/2017,14.7
9/3/2017,14.6
9/3/2017,14.2
9/3/2017,14.6
9/4/2017,14.8
9/4/2017,14.4
9/4/2017,14.2
9/4/2017,13.3
9/4/2017,12.9
9/4/2017,13.6
9/4/2017,13.5
9/4/2017,14.3
9/4/2017,15
9/4/2017,16.2
9/4/2017,18.8
9/4/2017,20.2
9/4/2017,20.5
9/4/2017,21.5
9/4/2017,20.7
9/4/2017,21.3
9/4/2017,20.6
9/4/2017,21.1
9/4/2017,20.9
9/4/2017,17
9/4/2017,15.4
9/4/2017,15.5
9/4/2017,15.7
9/4/2017,15.6
9/5/2017,15.3
9/5/2017,15
9/5/2017,14.9
9/5/2017,14.7
9/5/2017,14.7
9/5/2017,15.2
9/5/2017,14.8
9/5/2017,15
9/5/2017,15.6
9/5/2017,16.6
9/5/2017,20
9/5/2017,20.1
9/5/2017,19.5
9/5/2017,18.8
